商户ID,商户代码,终端号,商户名,省份,市,区,纬度,经度,用户地址,商圈信息
677296,105000253112534,10005454,,贵州省,贵阳市,南明区,26.577761,106.706956,贵州省贵阳市南明区花溪大道56-6号,待定
677297,105000253112529,10005443,,贵州省,贵阳市,南明区,26.577884,106.70693100000001,贵州省贵阳市南明区花溪大道56-6号,待定
677298,898520141110003,01141099,,贵州省,贵阳市,南明区,26.567875,106.72786699999999,贵州省贵阳市南明区市南巷30号,待定
677299,8495201565100NK,M4063455,,贵州省,贵阳市,南明区,26.569872999999998,106.689057,贵州省贵阳市南明区公园中路,待定
677300,8495201569901H1,M4050913,,贵州省,贵阳市,南明区,26.569883,106.68906499999999,贵州省贵阳市南明区公园中路,待定
677301,8495201701102K2,M3021109,,贵州省,贵阳市,南明区,26.567068,106.679106,贵州省贵阳市南明区延安南路,待定
677302,8495201595000B7,M2919209,,贵州省,贵阳市,南明区,26.554532000000002,106.668865,贵州省贵阳市南明区X125(金竹路),待定
677303,8495201701103HA,M4115788,,贵州省,贵阳市,南明区,26.566622,106.68271499999999,贵州省贵阳市南明区五里冲路,待定
677304,898520154111305,15025201,,贵州省,贵阳市,南明区,26.563081,106.693357,贵州省贵阳市南明区艺校立交,待定
677305,8495201569900I2,M3811794,,贵州省,贵阳市,南明区,26.560036,106.68330900000001,贵州省贵阳市南明区太金线,待定
677306,8495201566100C9,M1966104,,贵州省,贵阳市,南明区,26.55965,106.686644,贵州省贵阳市南明区黄岭路57-1,待定
677307,302701053110006,03020654,,贵州省,贵阳市,南明区,26.573037,106.69801799999999,贵州省贵阳市南明区解放西路隧道,待定
677308,898520159120523,11700631,,贵州省,贵阳市,南明区,26.565490000000004,106.713858,贵州省贵阳市南明区解放路94-5号,待定
677309,105000253112051,10004985,,贵州省,贵阳市,南明区,26.577918,106.706921,贵州省贵阳市南明区花溪大道56-6号,待定
677310,102701055110865,50891001,,贵州省,贵阳市,南明区,26.573865,106.70876200000001,贵州省贵阳市南明区贵惠路35号,待定
677311,898520154111305,15035301,,贵州省,贵阳市,南明区,26.566663000000002,106.73016399999999,贵州省贵阳市南明区嘉润路4,待定
677312,102701059981060,10079042,,贵州省,贵阳市,南明区,26.56800800000001,106.687499,贵州省贵阳市南明区中环路南段,待定
677313,84952015812021N,M4179560,,贵州省,贵阳市,南明区,26.5523,106.671742,贵州省贵阳市南明区西二环,待定
677314,102701059981060,10079044,,贵州省,贵阳市,南明区,26.580349,106.713012,贵州省贵阳市南明区都司路95,待定
677315,102701059981060,10079022,,贵州省,贵阳市,南明区,26.569205,106.717698,贵州省贵阳市南明区尚义路,待定
677316,105701000004693,10000159,,贵州省,贵阳市,南明区,26.568824,106.68748400000001,贵州省贵阳市南明区遵义中路,待定
677317,8495201581400YL,M1966104,,贵州省,贵阳市,南明区,26.559673999999998,106.68728,贵州省贵阳市南明区黄岭路57-1,待定
